"BirdID","Sex","birth_month","birth_year","death_month","death_year","trans","lifespan","DeathEvent","mum","dad","MumAge","n_off","help","adulthood","SmallFROH","MediumFROH","LargeFROH","Coverage","Fped","mumSmallFroh","mumMediumFroh","mumLargeFroh","CovMum","mumFped","dadSmallFroh","dadMediumFroh","dadLargeFroh","CovDad","dadFped","BreedSeason","event","first_catch","SamplingAge","BrMID","BrMSmallFroh","BrMMediumFroh","BrMLargeFroh","CovBrM","BrMFped","EPP","meanInsects","BirthFPID","BirthInsect","year_cv","mean_total_rain","mean_breeding_rain","mean_rain_cv","birth_total_rain","birth_breeding_rain","BirthRainCV"
1583,1,4,2000,10,2002,"0",2,0,951,1196,5,0,0,1,0.121101176,0.063230183,0.250317625,1.76907,0,0.134768257,0.065717569,0.220489496,14.4697,0,0.137390059,0.060826246,0.224030866,2.70776,0,0,0,0,NA,1196,0.137390059,0.060826246,0.224030866,2.70776,0,0,NA,39,NA,0.951624384438515,2289.4,103.366666666667,1.00894428135658,1973.6,84.7,0.951624384438515
1527,0,9,1999,7,2001,"0",2,0,1403,849,2,0,1,1,0.139194218,0.067136863,0.198492736,0.465633,0,0.128317615,0.092459812,0.196898587,0.427669,0,0.141962123,0.077780537,0.165427122,1.60984,0,1,0,0,NA,668,0.137178412,0.075491907,0.226758828,2.61902,0,1,5.15521640609487,28,5.15521640609487,1.12962318725452,1903.9,134.9,1.02198683794267,1711.6,209,1.12962318725452
1512,1,8,1999,2,2008,"0",9,0,951,1196,4,6,0,1,0.140012482,0.09520141,0.160768688,3.0377,0,0.134768257,0.065717569,0.220489496,14.4697,0,0.137390059,0.060826246,0.224030866,2.70776,0,1,0,0,0,1196,0.137390059,0.060826246,0.224030866,2.70776,0,0,3.47674981109619,28,5.15521640609487,1.12962318725452,2031.84,275.306666666667,1.27907038041826,1711.6,209,1.12962318725452
1584,0,12,1999,8,2000,"0",1,0,848,1370,5,0,1,1,0.134507196,0.071366386,0.222291039,2.156,0,0.155856442,0.095736859,0.163216089,2.08963,0,0.13053369,0.091324059,0.259906561,2.44346,0,0,0,1,1,NA,NA,NA,NA,NA,NA,0,NA,39,NA,0.951624384438515,1973.6,84.7,0.951624384438515,1973.6,84.7,0.951624384438515
1585,1,6,2000,10,2002,"0",2,0,595,495,7,0,0,1,0.129347811,0.06075187,0.219949523,2.75126,0,0.11358017,0.09247945,0.233729557,1.47725,0,0.129612313,0.084908305,0.213785329,3.67047,0,1,0,0,0,495,0.129612313,0.084908305,0.213785329,3.67047,0,0,NA,39,NA,0.951624384438515,2289.4,103.366666666667,1.00894428135658,1973.6,84.7,0.951624384438515
1586,0,4,2000,7,2001,"0",1,0,503,1214,7,0,0,1,0.089679831,0.081769,0.35495139,1.7885,0.25,0.109756599,0.088261976,0.304445422,1.77557,0,0.112962779,0.086986956,0.301520323,1.5084,0,0,0,0,NA,1214,0.112962779,0.086986956,0.301520323,1.5084,0,0,NA,39,NA,0.951624384438515,2000.05,97.85,0.968168663286739,1973.6,84.7,0.951624384438515
1515,1,6,1999,7,2001,"0",2,0,444,1166,7,0,0,1,0.13723977,0.080226975,0.231546933,2.85207,0,0.134847889,0.070997264,0.237401627,0.901143,0,0.141430882,0.094412533,0.20597293,1.30983,0,1,0,0,1,1166,0.141430882,0.094412533,0.20597293,1.30983,0,0,5.15521640609487,28,5.15521640609487,1.12962318725452,2144.95,129.775,1.03911400783106,1711.6,209,1.12962318725452
1588,0,4,2000,9,2004,"0",4,0,1382,847,3,4,0,1,0.138142167,0.076188337,0.212916782,2.67296,0,0.153528238,0.079690372,0.161317447,2.22457,0,0.121505579,0.072857214,0.257056843,2.52206,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4.23180388212794,30,3.65308711255895,0.951624384438515,2152.65,216.15,1.28158564901918,1973.6,84.7,0.951624384438515
1589,0,4,2000,9,2008,"0",8,0,1382,847,3,6,0,1,0.127277736,0.038537202,0.034575775,3.47744,0,0.153528238,0.079690372,0.161317447,2.22457,0,0.121505579,0.072857214,0.257056843,2.52206,0,0,0,2,0,847,0.121505579,0.072857214,0.257056843,2.52206,0,0,3.19196198268164,30,3.65308711255895,0.951624384438515,2022.76666666667,271.606666666667,1.27673833034439,1973.6,84.7,0.951624384438515
1382,0,8,1997,7,2001,"0",4,0,679,477,4,5,0,1,0.153528238,0.079690372,0.161317447,2.22457,0,0.130614951,0.056303433,0.237726889,2.24743,0,0.127085791,0.052710697,0.217126142,3.42788,0,1,0,1,1,NA,NA,NA,NA,NA,NA,0,3.35993964888979,25,3.40909704468116,1.41191822769959,1809.98333333333,157.866666666667,1.1228541860061,1725,124.5,1.41191822769959
1429,0,1,1999,9,2006,"0",7,0,915,847,5,5,0,1,0.146848892,0.092956009,0.214237176,1.3786,0,0.153119316,0.101980011,0.138400537,1.06169,0,0.121505579,0.072857214,0.257056843,2.52206,0,0,0,0,NA,847,0.121505579,0.072857214,0.257056843,2.52206,0,0,3.75438653129688,26,1.51550549589335,1.12962318725452,2027.79285714286,270.721428571429,1.24933590251255,1711.6,209,1.12962318725452
1590,1,6,2000,12,2005,"0",5,0,826,1274,6,6,0,1,0.207713027,0.085830255,0.117944802,5.09943,0,0.124662079,0.083597166,0.22691232,3.82586,0,0.141620248,0.094257789,0.149856397,1.48409,0,1,0,0,0,1213,0.139864931,0.083108782,0.201518776,18.2983,0,1,4.11531314620188,30,3.65308711255895,0.951624384438515,2096.18,277.92,1.26214438347775,1973.6,84.7,0.951624384438515
1591,1,6,2000,12,2005,"0",5,0,1059,1020,4,1,0,1,0.1227024,0.061717659,0.238175008,3.6049,0,0.142450575,0.10130283,0.156886627,0.364845,0,0.127042686,0.109682028,0.299004536,3.36235,0,1,0,0,0,1167,0.1296566,0.0636024,0.223185324,0.751285,0,1,4.11531314620188,30,3.65308711255895,0.951624384438515,2096.18,277.92,1.26214438347775,1973.6,84.7,0.951624384438515
1592,0,6,2000,7,2001,"0",1,0,853,629,6,0,0,1,0.134459178,0.072716736,0.255979201,2.06022,0,0.121932454,0.065531881,0.29561787,5.55251,0,0.132210367,0.076011745,0.268335471,2.26404,0,1,0,0,0,1040,0.13142145,0.068830841,0.218247121,5.14796,0,1,NA,39,NA,0.951624384438515,2000.05,97.85,0.968168663286739,1973.6,84.7,0.951624384438515
1594,1,6,2000,7,2001,"0",1,0,1415,1165,2,0,0,1,0.099223282,0.060888586,0.362710629,1.91052,0.25,0.159022678,0.15908787,0.144809959,2.07429,0,0.121520546,0.051965269,0.273316503,2.47212,0,1,0,0,NA,1165,0.121520546,0.051965269,0.273316503,2.47212,0,0,NA,39,NA,0.951624384438515,2289.4,103.366666666667,1.00894428135658,1973.6,84.7,0.951624384438515
1596,1,6,2000,8,2000,"0",0,0,168,1045,11,0,0,0,0.123198228,0.064553461,0.281368127,2.01575,0,0.135147507,0.074068381,0.151305105,0.440191,0,0.109286328,0.070241138,0.280823364,3.4932,0,1,0,0,0,1045,0.109286328,0.070241138,0.280823364,3.4932,0,0,NA,39,NA,0.951624384438515,1973.6,84.7,0.951624384438515,1973.6,84.7,0.951624384438515
1598,0,4,2000,1,2007,"0",7,0,1195,1279,4,4,0,1,0.133134863,0.073071636,0.217557717,2.03456,0,0.103478623,0.083539302,0.304593046,1.75352,0,0.150762045,0.077277829,0.169830135,3.92629,0,0,0,0,3,1198,0.120317859,0.067153894,0.181371196,3.59395,0,1,3.71715392479365,30,3.65308711255895,0.951624384438515,2101.86666666667,288.758333333333,1.29431763151188,1973.6,84.7,0.951624384438515
1600,1,8,2000,10,2002,"0",2,0,524,865,7,0,0,1,0.118595799,0.074695719,0.234082897,1.95654,0,0.118916724,0.086693586,0.236867535,3.30143,0,0.137934053,0.075479731,0.276784712,0.791404,0,1,0,0,NA,634,0.140480463,0.087781533,0.235915318,3.45961,0,1,NA,39,NA,0.951624384438515,2289.4,103.366666666667,1.00894428135658,1973.6,84.7,0.951624384438515
1601,1,8,2000,7,2001,"0",1,0,925,1287,6,0,0,1,0.131824851,0.064562637,0.338890178,2.91113,0,0.136938233,0.050020864,0.27956482,2.43854,0,0.192289301,0.12227853,0.119852473,0.8082,0,1,0,0,0,1287,0.192289301,0.12227853,0.119852473,0.8082,0,0,NA,39,NA,0.951624384438515,2289.4,103.366666666667,1.00894428135658,1973.6,84.7,0.951624384438515
1602,1,8,2000,8,2000,"0",0,0,912,1187,6,0,0,0,0.128016322,0.084135339,0.245954265,2.14487,0,0.140259846,0.075990635,0.18609579,4.45952,0,0.131562809,0.077125569,0.269326731,2.1718,0,1,0,0,0,1348,0.11316352,0.09618954,0.33331459,3.20592,0,1,NA,39,NA,0.951624384438515,1973.6,84.7,0.951624384438515,1973.6,84.7,0.951624384438515
1571,0,7,2000,8,2000,"0",0,0,1042,176,4,0,0,0,0.13978687,0.093410273,0.142754014,0.534468,0,0.149187125,0.076878312,0.199803367,2.05027,0,0.147607721,0.075525919,0.234980389,2.70008,0,1,0,0,NA,176,0.147607721,0.075525919,0.234980389,2.70008,0,0,NA,39,NA,0.951624384438515,1973.6,84.7,0.951624384438515,1973.6,84.7,0.951624384438515
1572,1,5,2000,5,2004,"0",4,0,1369,1032,3,2,0,1,0.148033759,0.057757207,0.189003807,2.59735,0,0.147719758,0.08986448,0.171141733,0.402636,0,0.119586359,0.086506451,0.165490368,3.64148,0,0,0,0,0,1032,0.119586359,0.086506451,0.165490368,3.64148,0,0,3.65308711255895,30,3.65308711255895,0.951624384438515,2202.93333333333,174.333333333333,1.27493820561333,1973.6,84.7,0.951624384438515
